"Ora","Age","Language","index1","_","answer_1_1","_","answer_1_2","_","answer_1_3","_","index2","_","answer_2_1","_","answer_2_2","_","answer_2_3","_"
"2022/01/22 12:02:12 PM CET","18-24","Italiano","1","","Opinione","","","","","","2","","","Reale","","","",""
"2022/01/22 12:02:23 PM CET","25-34","Italiano","3","","","","Reale","","","","3","","","","Fake","","",""
"2022/01/22 12:03:28 PM CET","25-34","Italiano","2","","","Reale","","","","","2","","","Reale","","","",""
"2022/01/22 12:05:41 PM CET","25-34","Italiano","1","","Reale","","","","","","2","","","Reale","","","",""
"2022/01/22 12:08:15 PM CET","18-24","Italiano","2","","","Reale","","","","","3","","","","Opinione","","",""
"2022/01/22 12:08:28 PM CET","25-34","Italiano","2","","","Fake","","","","","2","","","Fake","","","",""
"2022/01/22 12:19:12 PM CET","18-24","Italiano","3","","","","Fake","","","","1","","Fake","","","","",""
"2022/01/22 12:22:09 PM CET","18-24","Italiano","1","","Reale","","","","","","2","","","Reale","","","",""
"2022/01/22 12:38:48 PM CET","18-24","Italiano","2","","","Reale","","","","","3","","","","Opinione","","",""
"2022/01/22 12:40:48 PM CET","18-24","Italiano","1","","Fake","","","","","","2","","","Opinione","","","",""
"2022/01/22 12:46:56 PM CET","18-24","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/22 12:49:56 PM CET","18-24","Italiano","2","","","Reale","","","","","1","","Fake","","","","",""
"2022/01/22 12:50:29 PM CET","18-24","Italiano","3","","","","Opinione","","","","1","","Fake","","","","",""
"2022/01/22 12:53:01 PM CET","18-24","Italiano","3","","","","Fake","","","","2","","","Reale","","","",""
"2022/01/22 1:03:01 PM CET","18-24","Italiano","3","","","","Reale","","","","1","","Fake","","","","",""
"2022/01/22 1:04:37 PM CET","25-34","Italiano","1","","Reale","","","","","","2","","","Fake","","","",""
"2022/01/22 1:09:29 PM CET","18-24","Italiano","2","","","Reale","","","","","1","","Opinione","","","","",""
"2022/01/22 1:14:45 PM CET","25-34","Italiano","3","","","","Fake","","","","1","","Fake","","","","",""
"2022/01/22 1:34:46 PM CET","25-34","Italiano","3","","","","Reale","","","","1","","Fake","","","","",""
"2022/01/22 1:36:05 PM CET","25-34","Italiano","2","","","Reale","","","","","1","","Opinione","","","","",""
"2022/01/22 1:48:59 PM CET","18-24","Italiano","2","","","Opinione","","","","","3","","","","Fake","","",""
"2022/01/22 1:50:35 PM CET","25-34","Italiano","2","","","Reale","","","","","2","","","Fake","","","",""
"2022/01/22 2:12:28 PM CET","25-34","Italiano","2","","","Reale","","","","","1","","Fake","","","","",""
"2022/01/22 2:13:11 PM CET","18-24","Italiano","1","","Reale","","","","","","2","","","Reale","","","",""
"2022/01/22 3:15:24 PM CET","18-24","Italiano","3","","","","Fake","","","","1","","Opinione","","","","",""
"2022/01/22 3:15:54 PM CET","18-24","Italiano","2","","","Reale","","","","","1","","Fake","","","","",""
"2022/01/22 3:16:13 PM CET","18-24","Italiano","3","","","","Fake","","","","2","","","Reale","","","",""
"2022/01/22 3:35:11 PM CET","18-24","Italiano","2","","","Reale","","","","","1","","Fake","","","","",""
"2022/01/22 4:49:45 PM CET","18-24","Italiano","3","","","","Reale","","","","1","","Fake","","","","",""
"2022/01/22 4:52:55 PM CET","18-24","Italiano","2","","","Reale","","","","","3","","","","Fake","","",""
"2022/01/22 4:55:45 PM CET","18-24","Italiano","3","","","","Fake","","","","3","","","","Opinione","","",""
"2022/01/22 5:22:50 PM CET","18-24","Italiano","3","","","","Fake","","","","2","","","Reale","","","",""
"2022/01/22 5:26:28 PM CET","18-24","Italiano","2","","","Reale","","","","","2","","","Fake","","","",""
"2022/01/22 6:09:06 PM CET","18-24","Italiano","2","","","Opinione","","","","","1","","Fake","","","","",""
